,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
59,75,LoRa-E5 STM32WLE5JC Module Embedded SX126X And MCU,LoRa-E5 (STM32WLE5JC) Module,https://robu.in/product/lora-e5-stm32wle5jc-module-embedded-sx126x-and-mcu/,12,899,27-04-2024,ROBU,1
60,76,Heltec Automation ESP32 LoRa SX1278 0.96 Inch Blue OLED Display BT WiFi Module for Arduino,ESP32 LoRa with Display - 433MHz-510MHz SX1278,https://robu.in/product/esp32-lora-sx1278-0-96-inch-blue-oled-display-bt-wifi-module-for-arduino/,0,1882,27-04-2024,ROBU,1
61,581,Aluminum GT2 Timing Pulley 20 Tooth 6.35mm Bore For 6mm Belt,GT 2 Timing Belt Pulley 6.35mm Bore Width 10mm for RepRap 3D Printer,https://robu.in/product/aluminum-gt2-timing-pulley-20-tooth-6-35mm-bore-for-6mm-belt/,0,61,27-04-2024,ROBU,1
62,77,Aluminum GT2 Timing Pulley 20 Tooth 6.35mm Bore For 6mm Belt,GT2-6mm Belt Width 20 Teeth 6.35mm Bore Timing Pulley,https://robu.in/product/aluminum-gt2-timing-pulley-20-tooth-6-35mm-bore-for-6mm-belt/,0,61,27-04-2024,ROBU,1
63,78,ATTINY85 USB Development Board,ATTINY85 USB Development Board,https://robu.in/product/attiny85-usb-development-board/,635,255,27-04-2024,ROBU,1
64,80,12V-40V10A DC Motor PWM Speed Control Switch Governor,12V 10A PWM DC Motor Speed Controller,https://robu.in/product/12v-40v10a-dc-motor-pwm-speed-control-switch-governor/,243,139,27-04-2024,ROBU,1
65,976,MAX30100 Pulse Oximeter Heart Rate Sensor Module,MAX30100 Pulse Oximeter Heart Rate Sensor Module,https://robu.in/product/max30100-pulse-oximeter-heart-rate-sensor-module/,0,112,27-04-2024,ROBU,1
66,81,MAX30100 Pulse Oximeter Heart Rate Sensor Module,MAX30102 Pulse Oximeter Heart Rate Sensor Module,https://robu.in/product/max30100-pulse-oximeter-heart-rate-sensor-module/,0,112,27-04-2024,ROBU,1
67,82,RP2040 Microcontroller IC by Raspberry PI,Raspberry Pi RP2040 IC Microcontroller Chip,https://robu.in/product/raspberry-pi-rp2040/,1491,72,27-04-2024,ROBU,1
68,83,XH-W3001 DC 12V 120W Digital Microcomputer Thermostat Switch,XH-W3001 DC 12V 120W Digital Display LED Temperature Controller with Thermostat Control Switch Probe,https://robu.in/product/xh-w3001-dc-12v-120w-digital-temperature-controller-microcomputer-thermostat-switch/,14,153,27-04-2024,ROBU,1
69,84,XH-W1219 12V Digital Red+Green Display Temperature Controller Module W/ NTC Waterproof Temperature Sensor,XH-W1219 12V Digital Temperature Controller,https://robu.in/product/redgreen-12v-digital-temperature-controller-module-w-ntc-waterproof-temperature-sensor/,0,191,27-04-2024,ROBU,1
70,85,RCWL-0516 Microwave Radar Sensor,Microwave Radar Human Body Sensor,https://robu.in/product/rcwl-0516-microwave-radar-sensor/,279,35,27-04-2024,ROBU,1
71,86,150W DC-DC Boost Converter 10-32V to 12-35V 6A Step-Up Adjustable Power Supply,150W Dc-Dc Boost Adjustable Power Converter,https://robu.in/product/150w-dc-dc-boost-converter-10-32v-12-35v-6a-step-adjustable-power-supply/,1478,150,27-04-2024,ROBU,1
72,87,XH-M602 Digital Battery Charging Control Module,XH-M602 Lithium Battery Charging Control Module,https://robu.in/product/xh-m602-digital-battery-charging-control-module/,0,352,27-04-2024,ROBU,1
73,89,DS3231 RTC Module Precise Real Time Clock I2C AT24C32,DS3231 Real Time Clock Memory Module with Battery,https://robu.in/product/ds3231-rtc-module-precise-real-time-clock-i2c-at24c32/,0,129,27-04-2024,ROBU,1
74,90,0.91 inch 128×32 Blue OLED Display Module with I2C/IIC Serial Interface,0.91 inch Blue OLED Display Module,https://robu.in/product/0-91-inch-128x32-i2c-iic-serial-blue-oled-lcd-display-module/,634,183,27-04-2024,ROBU,1
